Datetime,Water Level (m)
2024-02-28 06:00:00,0.35736462
2024-02-28 07:00:00,0.053526714
2024-02-28 08:00:00,-0.32804593
2024-02-28 09:00:00,-0.69980305
2024-02-28 10:00:00,-0.98112595
2024-02-28 11:00:00,-1.072756
2024-02-28 12:00:00,-0.94032025
2024-02-28 13:00:00,-0.61682457
2024-02-28 14:00:00,-0.19539312
2024-02-28 15:00:00,0.20631646
2024-02-28 16:00:00,0.4859081
2024-02-28 17:00:00,0.54293066
2024-02-28 18:00:00,0.38159254
2024-02-28 19:00:00,0.04112543
2024-02-28 20:00:00,-0.36209518
2024-02-28 21:00:00,-0.7645554
2024-02-28 22:00:00,-1.0676912
2024-02-28 23:00:00,-1.1926863
2024-02-29 00:00:00,-1.1059994
2024-02-29 01:00:00,-0.83188957
2024-02-29 02:00:00,-0.43097547
2024-02-29 03:00:00,-0.016926333
2024-02-29 04:00:00,0.31143108
2024-02-29 05:00:00,0.47593576
2024-02-29 06:00:00,0.42579892
2024-02-29 07:00:00,0.18560643
2024-02-29 08:00:00,-0.16793615
2024-02-29 09:00:00,-0.51207376
2024-02-29 10:00:00,-0.8172208
2024-02-29 11:00:00,-0.9770099
2024-02-29 12:00:00,-0.9447351
2024-02-29 13:00:00,-0.7279409
2024-02-29 14:00:00,-0.3964516
2024-02-29 15:00:00,-0.033220172
2024-02-29 16:00:00,0.27478632
2024-02-29 17:00:00,0.41702104
2024-02-29 18:00:00,0.36884978
2024-02-29 19:00:00,0.1297173
2024-02-29 20:00:00,-0.21848929
2024-02-29 21:00:00,-0.6010737
2024-02-29 22:00:00,-0.92493004
2024-02-29 23:00:00,-1.1148868
2024-03-01 00:00:00,-1.1304916
2024-03-01 01:00:00,-0.9556383
2024-03-01 02:00:00,-0.6302852
2024-03-01 03:00:00,-0.25646833
2024-03-01 04:00:00,0.07897652
2024-03-01 05:00:00,0.31541824
2024-03-01 06:00:00,0.38565218
2024-03-01 07:00:00,0.26382884
2024-03-01 08:00:00,0.005805617
2024-03-01 09:00:00,-0.2861869
2024-03-01 10:00:00,-0.5797279
2024-03-01 11:00:00,-0.79629326
2024-03-01 12:00:00,-0.8683022
2024-03-01 13:00:00,-0.775787
2024-03-01 14:00:00,-0.54306847
2024-03-01 15:00:00,-0.2427451
2024-03-01 16:00:00,0.049730875
2024-03-01 17:00:00,0.22726524
2024-03-01 18:00:00,0.2717159
2024-03-01 19:00:00,0.14841338
2024-03-01 20:00:00,-0.11457158
2024-03-01 21:00:00,-0.44347522
2024-03-01 22:00:00,-0.7380947
2024-03-01 23:00:00,-0.95935494
2024-03-02 00:00:00,-1.0576308
2024-03-02 01:00:00,-0.9878677
2024-03-02 02:00:00,-0.7677629
2024-03-02 03:00:00,-0.46592727
2024-03-02 04:00:00,-0.15845647
2024-03-02 05:00:00,0.111837566
2024-03-02 06:00:00,0.26748723
2024-03-02 07:00:00,0.27089068
2024-03-02 08:00:00,0.13303024
2024-03-02 09:00:00,-0.07961743
2024-03-02 10:00:00,-0.33796534
2024-03-02 11:00:00,-0.5649668
2024-03-02 12:00:00,-0.6958671
2024-03-02 13:00:00,-0.7191637
2024-03-02 14:00:00,-0.6074172
2024-03-02 15:00:00,-0.40472028
2024-03-02 16:00:00,-0.17195083
2024-03-02 17:00:00,0.0038646613
2024-03-02 18:00:00,0.09920368
2024-03-02 19:00:00,0.08952066
2024-03-02 20:00:00,-0.05163811
2024-03-02 21:00:00,-0.2913536
2024-03-02 22:00:00,-0.5371893
2024-03-02 23:00:00,-0.75291216
2024-03-03 00:00:00,-0.9088505
2024-03-03 01:00:00,-0.9466752
2024-03-03 02:00:00,-0.8570145
2024-03-03 03:00:00,-0.6520279
2024-03-03 04:00:00,-0.39960912
2024-03-03 05:00:00,-0.14030835
2024-03-03 06:00:00,0.066817366
2024-03-03 07:00:00,0.18432298
2024-03-03 08:00:00,0.17674369
2024-03-03 09:00:00,0.07418025
2024-03-03 10:00:00,-0.10720518
2024-03-03 11:00:00,-0.28283095
2024-03-03 12:00:00,-0.4441033
2024-03-03 13:00:00,-0.5477949
2024-03-03 14:00:00,-0.5732355
2024-03-03 15:00:00,-0.5006281
2024-03-03 16:00:00,-0.36987606
2024-03-03 17:00:00,-0.24293944
2024-03-03 18:00:00,-0.1306376
2024-03-03 19:00:00,-0.057228934
2024-03-03 20:00:00,-0.06963802
2024-03-03 21:00:00,-0.18350533
2024-03-03 22:00:00,-0.3400063
2024-03-03 23:00:00,-0.511236
2024-03-04 00:00:00,-0.6690905
2024-03-04 01:00:00,-0.7895212
2024-03-04 02:00:00,-0.81916547
2024-03-04 03:00:00,-0.75292164
2024-03-04 04:00:00,-0.61171114
2024-03-04 05:00:00,-0.40928325
2024-03-04 06:00:00,-0.20909251
2024-03-04 07:00:00,-0.022221277
2024-03-04 08:00:00,0.10610471
2024-03-04 09:00:00,0.15925497
2024-03-04 10:00:00,0.104461014
2024-03-04 11:00:00,-0.007240131
2024-03-04 12:00:00,-0.14081247
2024-03-04 13:00:00,-0.28983492
2024-03-04 14:00:00,-0.4307895
2024-03-04 15:00:00,-0.50502145
2024-03-04 16:00:00,-0.5031015
2024-03-04 17:00:00,-0.46209523
2024-03-04 18:00:00,-0.39072978
2024-03-04 19:00:00,-0.28347346
2024-03-04 20:00:00,-0.19149074
2024-03-04 21:00:00,-0.15404165
2024-03-04 22:00:00,-0.15519264
2024-03-04 23:00:00,-0.2395841
2024-03-05 00:00:00,-0.37982374
2024-03-05 01:00:00,-0.5230409
2024-03-05 02:00:00,-0.65950674
2024-03-05 03:00:00,-0.7418157
2024-03-05 04:00:00,-0.74443245
2024-03-05 05:00:00,-0.64689964
2024-03-05 06:00:00,-0.5106727
